image_id,is_homogenous
train_279,0
train_277,0
train_275,0
train_273,0
train_271,0
train_269,0
train_267,0
train_265,0
train_263,1
train_261,0
train_259,1
train_257,0
train_255,0
train_253,0
train_251,0
train_249,0
train_247,0
train_245,1
train_243,0
train_241,0
train_239,0
train_237,1
train_235,0
train_233,0
train_231,1
train_229,0
train_227,0
train_225,0
train_223,0
train_221,0
train_219,1
train_217,0
train_215,1
train_213,1
train_211,1
train_209,0
train_207,0
train_205,0
train_203,0
train_201,0
train_199,0
train_197,0
train_195,0
train_193,0
train_191,0
train_189,0
train_187,0
train_185,0
train_183,0
train_181,0
train_179,0
train_177,0
train_175,0
train_173,0
train_171,0
train_169,0
train_167,0
train_165,0
train_163,0
train_161,0
train_159,1
train_157,0
train_155,0
train_153,1
train_151,0
train_149,0
train_147,0
train_145,0
train_143,0
train_141,1
train_139,0
train_137,0
train_135,0
train_133,0
train_131,0
train_129,0
train_127,0
train_125,0
train_123,0
train_121,0
train_119,0
train_117,0
train_115,0
train_113,1
train_111,1
train_109,0
train_107,0
train_105,0
train_103,0
train_101,0
train_099,0
train_097,0
train_095,0
train_093,0
train_091,0
train_089,0
train_087,0
train_085,1
train_083,0
train_081,0
train_079,1
train_077,1
train_075,1
train_073,0
train_071,0
train_069,0
train_067,0
train_065,0
train_063,0
train_061,1
train_059,0
train_057,0
train_055,1
train_053,0
train_051,0
train_049,0
train_047,0
train_045,0
train_043,0
train_041,0
train_039,0
train_037,0
train_035,0
train_033,1
train_029,0
train_027,0
train_025,0
train_023,0
train_021,1
train_019,0
train_017,0
train_015,0
train_013,0
train_011,0
train_009,0
train_007,0
train_005,1
train_003,1
train_001,0
val_001,0
val_002,0
val_003,0
val_004,0
val_005,0
val_006,0
val_007,0
val_008,0
val_009,0
val_010,0
val_011,0
val_012,1
val_013,0
val_014,0
val_015,1
val_016,0
val_017,0
val_018,0
val_019,0
val_020,0
val_021,0
val_022,1
val_023,0
val_024,0
val_025,0
val_026,1
val_027,0
val_028,0
val_029,0
val_030,0
val_031,0
val_032,0
val_033,0
val_034,0
val_035,0
val_036,0
val_037,1
val_038,0
val_039,0
val_040,0
val_041,0
val_042,0
val_043,0
val_044,0
val_045,1
val_046,0
val_047,0
val_048,0
val_049,0
val_050,0
val_051,0
val_052,0
val_053,0
val_054,1
val_055,0
val_056,0
val_057,1
val_058,0
val_059,0
val_060,0
val_061,1
val_062,0
val_063,0
val_064,0
val_065,0
val_066,0
val_067,0
val_068,0
val_069,0
val_070,0
val_071,0
val_072,0
val_073,0
val_074,0
val_075,0
val_076,0
val_077,0
val_078,0
val_079,1
val_080,0
val_081,0
val_082,1
val_083,0
val_084,1
val_085,0
val_086,0
val_087,0
val_088,0
val_089,0
val_090,0
val_091,0
val_092,0
val_093,0
val_094,1
val_095,0
val_096,0
val_097,0
val_098,1
val_099,0
val_100,0
val_101,0
val_102,0
val_103,0
val_104,0
val_105,0
val_106,0
val_107,0
val_108,0
val_109,0
val_110,0
val_111,0
val_112,0
val_113,0
val_114,0
val_115,0
val_116,1
val_117,1
val_118,0
val_119,0
val_120,0
val_121,0
val_122,0
val_123,0
val_124,0
val_125,0
val_126,0
val_127,0
val_128,0
val_129,1
val_130,0
val_131,0
